FybrrLink Path BW,FybrrLink Path latency,FFybrrLink Path PLR,FybrrLink Hops Count,FybrrLink Execution Time,FybrrLink AVG CD,Plane Dijkstra Path BW,Plane Dijkstra Path latency,Plane Dijkstra Path PLR, Plane Dijkstra Hops Count, Plane Dijkstr Execution Time (in ms),Plane Dijkstra AVG CD,SDRA Path BW,SDRA latency,SDRA PLR,SDRA Hops Count,SDRA Execution Time,SDRA avg CD,Sway Path BW,Sway latency,Sway PLR,Sway Hops Count,Sway Execution Time,Sway avg CD
787,5.40591,0.00269818,2,8,0.713094,552,72.6143,0.00329679,4,84,0.712084,841,5.40591,0.00269818,2,237,0.720312,921,5.40591,0.00269818,2,1875,0.707692
651,8.10887,0.00429396,3,10,0.713428,577,109.536,0.00658331,6,168,0.712667,171,8.10887,0.00429396,3,274,0.720813,901,40.3009,0.00359556,4,2035,0.708193
585,53.6936,0.0070803,5,12,0.71345,326,145.885,0.00886646,8,215,0.712709,261,43.2273,0.00648352,5,7040,0.720847,742,56.3965,0.00598613,5,2090,0.708224
362,40.641,0.00359517,4,12,0.713498,873,130.129,0.00767645,7,196,0.712786,0,0,0,0,0,0.72092,731,40.641,0.00359517,4,1755,0.708299
759,22.9651,0.00299707,3,9,0.713593,856,90.1735,0.00817371,5,137,0.71294,589,22.9651,0.00349593,3,449,0.72092,632,22.9651,0.00349593,3,1771,0.708403
533,73.1879,0.00359575,4,12,0.71442,556,74.418,0.00519023,4,81,0.714226,163,78.3457,0.00737777,7,189111,0.722143,594,74.418,0.00528993,4,2114,0.709626
728,35.6921,0.00209892,2,10,0.714555,838,36.9222,0.00349694,2,29,0.714357,998,37.8214,0.00249822,3,503,0.722469,788,35.6921,0.00209892,2,2861,0.70967
497,35.6921,0.00099979,2,85,0.714597,744,36.9222,0.00269838,2,38,0.714401,135,37.8214,0.00109969,3,423,0.722565,873,35.6921,0.00099979,2,2401,0.7097
703,63.9515,0.00419407,4,54,0.714685,301,93.781,0.00499108,5,106,0.714488,83,63.4894,0.00239766,7,190830,0.722764,580,59.5618,0.00269786,4,1737,0.709763
604,54.2579,0.00319713,3,12,0.71491,569,55.0551,0.00379544,3,56,0.714752,193,58.0835,0.00558774,5,4343,0.723327,665,53.0278,0.00289785,3,2460,0.709849
883,45.8186,0.00329704,3,27,0.715138,208,75.6481,0.00399508,4,97,0.714979,671,56.3965,0.00558806,5,4165,0.723833,520,45.8186,0.00249836,3,2253,0.709945
549,30.0578,0.00558868,4,32,0.715201,219,128.326,0.00638368,7,215,0.715059,127,25.6681,0.00558838,4,809,0.723985,774,38.8373,0.00289697,4,2214,0.709977
778,47.617,0.00528912,5,15,0.716301,393,145.885,0.00777564,8,252,0.716828,549,43.2273,0.00359519,5,5812,0.725353,332,43.2273,0.00499026,5,2236,0.71163
793,98.306,0.00299643,6,17,0.716664,186,109.536,0.00449274,6,248,0.71736,385,113.464,0.0101554,9,7770792,0.725894,713,109.536,0.0071797,6,2011,0.712181
684,94.2426,0.00647677,7,26,0.717587,870,58.0889,0.00349608,3,61,0.718273,0,0,0,0,0,0.727867,655,81.0734,0.00668164,7,2439,0.712795
453,72.9398,0.0046918,5,14,0.717643,388,107.159,0.00399428,6,266,0.718295,289,72.9398,0.00518981,5,2263,0.727867,252,72.9398,0.00518981,5,1920,0.712828
816,53.825,0.00319716,3,12,0.717975,816,53.825,0.00319716,3,69,0.718701,983,58.0835,0.00459264,5,5168,0.728362,657,53.0278,0.0032965,3,1898,0.713323
745,27.3548,0.00239815,3,11,0.718046,315,91.4035,0.00359581,5,155,0.71877,745,22.9651,0.00279761,3,544,0.728523,659,22.9651,0.00279761,3,1832,0.713353
782,17.3358,0.0004,1,8,0.718211,999,17.3358,0.0014,1,43,0.719038,572,20.2622,0.00199936,2,459,0.728765,958,17.3358,0.0004,1,1110,0.713595
798,22.9651,0.0017992,3,11,0.718219,1015,90.1735,0.00658299,5,148,0.719046,724,22.9651,0.00199932,3,450,0.728787,775,22.9651,0.00379544,3,1374,0.713595
373,54.2579,0.0030973,3,11,0.718281,612,55.0551,0.00489202,3,63,0.719145,564,64.1602,0.00568758,5,5701,0.728875,821,53.0278,0.00139939,3,3250,0.713687
321,71.8171,0.00359575,4,13,0.718421,389,72.6143,0.00538958,4,97,0.719288,512,80.0324,0.0056874,6,19754,0.729214,498,73.8443,0.00459281,4,1815,0.71375
302,108.516,0.00628453,6,14,0.718488,489,110.11,0.0086689,6,185,0.719355,0,0,0,0,0,0.729362,172,81.0486,0.00896506,8,2230,0.713795
421,8.7796,0.0016,1,9,0.718688,857,36.9222,0.0031976,2,28,0.719556,489,8.7796,0.0016,1,141,0.729362,489,8.7796,0.0016,1,1165,0.714176
705,37.4959,0.0008998,2,16,0.718747,564,72.6143,0.0042938,4,81,0.719658,215,40.5243,0.00489162,4,1418,0.729451,543,37.4959,0.0008998,2,1637,0.714264
343,40.1988,0.00269818,3,27,0.719077,313,109.536,0.00568797,6,178,0.720234,557,56.3965,0.00578718,5,4771,0.730362,373,44.5885,0.00369584,3,1933,0.714264
218,26.3388,0.00349608,3,37,0.719142,291,110.766,0.00737862,6,164,0.720345,429,26.3388,0.00349608,3,209,0.730513,429,26.3388,0.00349608,3,2375,0.714299
266,73.9558,0.00667511,7,64,0.719142,308,127.669,0.00866838,7,303,0.72185,469,63.4894,0.0069801,7,224752,0.731765,136,63.4894,0.00727747,7,2283,0.715551
321,45.6047,0.0051899,5,23,0.719192,813,130.703,0.0091652,7,333,0.721901,146,61.8024,0.00827118,7,60873,0.73184,531,93.1003,0.0120367,9,24367,0.715628
461,62.9405,0.0045918,6,43,0.71944,761,112.57,0.00698115,6,201,0.722233,483,68.8953,0.00966028,9,7251105,0.732339,351,62.9405,0.0045918,6,2616,0.716288
453,72.3908,0.00459261,4,14,0.719485,896,71.1607,0.00638469,4,90,0.722276,475,78.3457,0.00737822,7,195802,0.732437,755,83.0856,0.00906669,7,3127,0.716322
643,53.2513,0.00289724,3,14,0.719515,753,54.4814,0.00429414,3,77,0.722306,721,55.3806,0.00329622,4,843,0.732511,993,52.4542,0.00249822,3,3019,0.716376
753,17.3358,0.0014,1,11,0.719665,717,17.3358,0.0014,1,25,0.722458,663,20.2622,0.00249844,2,380,0.732813,701,17.3358,0.0014,1,1284,0.716521
610,92.3275,0.00668258,5,20,0.719738,205,92.3275,0.00668258,5,123,0.722532,0,0,0,0,0,0.733038,558,92.3275,0.00568258,5,1888,0.716521
945,94.8887,0.00638376,6,16,0.719845,382,89.5998,0.0082727,5,135,0.722639,250,90.499,0.00658285,6,4525,0.733038,700,87.5726,0.00708008,5,1714,0.716521
743,2.70296,0.0012,1,13,0.720025,1048,35.6921,0.00159961,2,53,0.722787,214,2.70296,0.0012,1,198,0.73331,743,2.70296,0.0012,1,1295,0.716694
608,126.371,0.00913439,8,19,0.720051,346,91.9772,0.00708039,5,121,0.722832,189,95.9049,0.00936174,8,1177836,0.733349,362,88.7199,0.00489105,5,2365,0.716733
371,108.306,0.00827214,6,28,0.721226,183,109.536,0.00678156,6,176,0.72359,209,113.464,0.00836975,9,7178436,0.735145,479,78.3457,0.00748304,7,2188,0.717141
1153,59.7703,0.00509035,4,42,0.721269,305,89.5998,0.0066826,5,137,0.723632,45,55.3806,0.00239791,4,802,0.735236,753,59.7703,0.00289711,4,1720,0.717214
353,61.4572,0.00509059,4,13,0.721269,280,89.5998,0.0066826,5,135,0.723734,467,59.7703,0.00509035,4,878,0.735363,728,59.7703,0.00289711,4,1693,0.717341
709,25.4446,0.00249892,4,15,0.721473,300,126.872,0.0075768,7,225,0.723979,809,28.371,0.00409488,5,1595,0.735666,471,25.4446,0.00249892,4,1742,0.717644
269,13.5148,0.00628487,5,14,0.72156,606,92.3275,0.00737851,5,116,0.724121,-173,13.5148,0.00628487,5,364,0.735819,449,81.6223,0.00985881,8,24770,0.717741
249,70.582,0.00817184,8,18,0.721732,570,128.899,0.00827215,7,220,0.724287,575,77.6746,0.00866793,8,216194,0.736,485,146.809,0.0113446,8,27411,0.718072
169,49.6491,0.00956086,8,18,0.72232,490,109.536,0.00807376,6,164,0.724776,495,67.208,0.00777394,8,15105,0.736897,881,41.098,0.00499158,4,10077,0.718265
258,84.4222,0.00538843,6,14,0.722917,617,108.963,0.00658285,6,175,0.725192,407,75.6427,0.00578675,6,18280,0.737802,933,75.6427,0.00578675,6,6594,0.718588
293,99.2786,0.00807264,7,14,0.723046,592,91.4035,0.00548889,5,124,0.725325,382,93.2019,0.0079733,7,65295,0.737995,828,90.1735,0.00566979,5,2223,0.718781
233,104.684,0.00727736,8,15,0.72336,635,91.9772,0.00678235,5,116,0.725558,201,95.9049,0.00926293,8,1182886,0.738458,683,91.9772,0.00508074,5,1808,0.718969
702,14.1854,0.00059995,2,9,0.723436,805,73.8443,0.00538917,4,73,0.725609,702,14.1854,0.00059995,2,322,0.738571,702,14.1854,0.00059995,2,3674,0.718995
804,26.4557,0.00179935,2,12,0.723497,772,56.2851,0.00399476,3,45,0.72572,0,0,0,0,0,0.738663,804,26.4557,0.00179935,2,1864,0.719087
222,87.5726,0.00379491,5,14,0.723614,472,88.3697,0.00568786,5,137,0.725874,460,90.499,0.00538884,6,3940,0.738663,807,87.5726,0.00379491,5,5597,0.719168
881,110.684,0.00707999,6,81,0.723719,520,110.684,0.00707999,6,148,0.72598,0,0,0,0,0,0.738853,693,113.163,0.00737771,7,24724,0.719288
